id,gender,birthday,region,last_visited
333,Ж,2008-12-08 16:04:50,Город Москва,2023-09-23 18:20:40.465397
334,М,2008-09-29 01:10:25,Город Санкт-Петербург,2023-10-05 03:42:52.465399
335,М,2008-08-19 06:37:08,Город Москва,2023-09-29 05:06:01.465402
336,Ж,2007-05-21 05:47:40,Город Санкт-Петербург,2023-10-15 10:43:51.465404
337,Ж,2010-01-19 20:12:04,Город Москва,2023-09-25 10:16:00.465408
338,Ж,2009-08-13 21:33:45,Краснодарский край,2023-10-14 13:07:53.465410
339,Ж,2007-05-24 23:29:52,Новосибирская область,2023-09-18 06:55:11.465412
340,Ж,2010-07-11 22:19:32,Город Москва,2023-09-27 14:45:05.465415
341,Ж,2010-09-14 04:34:05,Город Москва,2023-09-21 20:33:19.465417
342,Ж,2008-08-23 19:43:15,Город Москва,2023-10-13 02:55:49.465420
343,М,2007-12-09 21:13:40,Город Москва,2023-10-09 16:13:59.465422
344,М,2008-11-23 07:02:39,Город Санкт-Петербург,2023-09-26 17:27:15.465424
345,М,2009-03-10 11:44:16,Новосибирская область,2023-10-11 23:55:37.465427
346,Ж,2007-12-23 23:14:50,Город Москва,2023-10-09 04:47:36.465429
347,Ж,2010-03-07 14:44:48,Город Москва,2023-10-08 17:32:53.465432
348,М,2006-12-01 09:43:41,Город Москва,2023-10-01 08:39:46.465434
349,Ж,2009-07-07 20:34:24,Город Москва,2023-09-28 02:21:38.465436
350,М,2010-05-26 21:17:02,Город Санкт-Петербург,2023-10-06 09:22:50.465439
351,М,2007-06-23 10:43:40,Краснодарский край,2023-09-21 12:59:57.465441
352,М,2010-01-26 01:08:39,Город Москва,2023-10-12 15:20:52.465443
353,М,2008-02-24 15:09:04,Краснодарский край,2023-10-17 16:55:10.465446
354,М,2007-03-18 05:09:50,Нижегородская область,2023-09-21 22:08:09.465448
355,М,2009-03-31 11:35:35,Город Санкт-Петербург,2023-09-30 19:25:17.465451
356,Ж,2008-03-15 01:11:15,Город Санкт-Петербург,2023-10-13 21:56:33.465453
357,Ж,2008-09-02 00:45:31,Город Москва,2023-10-09 01:41:14.465455
358,М,2007-10-05 02:41:59,Город Санкт-Петербург,2023-10-04 00:48:16.465458
359,М,2008-03-02 23:11:19,Краснодарский край,2023-10-07 21:19:18.465460
360,Ж,2007-07-31 02:11:30,Нижегородская область,2023-10-04 05:22:41.465462
361,М,2008-01-20 05:10:00,Новосибирская область,2023-10-11 16:03:53.465464
362,Ж,2007-03-19 02:55:54,Город Москва,2023-09-29 08:42:41.465467
363,Ж,2008-05-13 10:30:55,Нижегородская область,2023-10-01 23:29:31.465469
364,Ж,2008-10-06 22:58:30,Город Москва,2023-10-03 20:26:56.465472
365,М,2008-12-19 17:44:05,Город Санкт-Петербург,2023-10-04 10:44:51.465474
366,М,2009-01-30 11:32:17,Город Москва,2023-10-04 06:42:58.465476
367,Ж,2008-03-16 06:54:40,Нижегородская область,2023-09-21 00:16:52.465479
368,М,2007-06-30 14:51:33,Краснодарский край,2023-10-03 16:58:00.465481
369,Ж,2009-08-15 15:53:36,Город Санкт-Петербург,2023-09-20 04:34:26.465484
370,Ж,2006-11-27 10:11:48,Краснодарский край,2023-10-16 12:17:03.465486
371,Ж,2009-01-31 18:48:56,Краснодарский край,2023-09-18 14:31:20.465488
372,Ж,2008-02-14 08:13:19,Город Москва,2023-10-04 06:12:50.465491
373,М,2007-07-26 19:11:16,Город Москва,2023-10-10 03:08:58.465493
374,М,2007-02-08 19:30:30,Город Москва,2023-10-06 16:37:52.465496
375,М,2008-02-05 09:27:58,Город Санкт-Петербург,2023-09-24 16:13:54.465498
376,Ж,2009-04-19 18:57:18,Новосибирская область,2023-10-14 14:19:21.465500
377,М,2008-10-07 08:59:27,Город Санкт-Петербург,2023-09-24 18:00:00.465503
378,Ж,2009-06-19 09:33:58,Нижегородская область,2023-09-24 07:23:40.465505
379,Ж,2008-12-31 03:07:36,Нижегородская область,2023-09-25 14:01:40.465507
380,М,2009-05-12 03:49:36,Нижегородская область,2023-10-08 20:00:49.465510
381,Ж,2010-10-01 17:15:45,Новосибирская область,2023-10-13 14:41:35.465512
382,М,2010-06-11 19:42:44,Город Москва,2023-09-30 14:10:46.465515
383,Ж,2009-06-07 12:38:45,Город Санкт-Петербург,2023-09-22 12:55:05.465517
384,Ж,2007-10-24 04:12:53,Город Москва,2023-10-07 07:52:23.465519
385,Ж,2009-03-06 02:10:49,Город Москва,2023-10-16 20:31:46.465522
386,Ж,2008-08-06 01:33:06,Новосибирская область,2023-09-29 22:31:06.465524
387,М,2009-10-14 09:29:35,Город Москва,2023-10-06 03:13:24.465527
388,Ж,2008-10-02 14:56:50,Город Москва,2023-10-01 12:51:27.465529
389,М,2008-12-29 16:13:36,Город Москва,2023-10-06 22:13:37.465531
390,Ж,2008-03-31 03:28:10,Новосибирская область,2023-09-29 14:10:53.465534
391,М,2008-04-13 17:55:05,Город Санкт-Петербург,2023-10-04 11:52:28.465536
392,Ж,2010-08-31 21:19:45,Новосибирская область,2023-09-26 02:45:56.465538
393,М,2008-06-04 17:30:35,Город Санкт-Петербург,2023-10-09 14:42:03.465541
394,М,2008-10-31 21:53:55,Краснодарский край,2023-10-05 17:58:43.465543
395,Ж,2009-06-10 03:32:55,Город Москва,2023-09-23 02:35:50.465546
396,М,2007-11-29 19:45:22,Город Москва,2023-10-09 18:57:18.465548
397,М,2008-10-23 09:07:47,Город Санкт-Петербург,2023-09-29 18:20:49.465550
398,М,2007-08-23 23:17:43,Город Москва,2023-10-17 18:05:42.465553
399,М,2009-07-03 10:31:20,Город Санкт-Петербург,2023-10-12 07:45:01.465555
400,Ж,2007-07-10 05:56:23,Город Москва,2023-10-02 23:45:50.465558
401,М,2010-09-30 22:02:28,Город Москва,2023-10-17 20:36:54.465561
402,Ж,2006-12-11 18:24:16,Краснодарский край,2023-09-22 01:10:17.465563
403,Ж,2008-11-05 06:42:57,Город Москва,2023-10-15 11:43:31.465566
404,Ж,2007-01-17 00:23:49,Город Москва,2023-09-30 08:48:37.465568
405,Ж,2008-11-24 13:56:42,Город Санкт-Петербург,2023-09-20 21:23:18.465571
406,Ж,2009-05-07 06:18:25,Город Санкт-Петербург,2023-10-15 14:32:20.465573
407,М,2010-05-10 20:00:27,Город Москва,2023-10-08 21:30:20.465575
408,Ж,2007-06-03 05:43:28,Новосибирская область,2023-10-03 18:14:27.465578
409,Ж,2007-10-10 03:35:48,Краснодарский край,2023-10-16 06:56:31.465580
410,Ж,2010-02-03 08:17:44,Город Москва,2023-10-14 19:09:22.465583
411,М,2008-01-24 11:45:03,Нижегородская область,2023-10-15 19:47:44.465585
412,М,2007-09-09 08:37:07,Новосибирская область,2023-10-14 11:57:44.465587
413,Ж,2010-07-30 00:50:25,Город Москва,2023-10-07 07:42:44.465590
414,М,2010-07-01 14:25:50,Нижегородская область,2023-09-19 02:31:05.465592
415,Ж,2010-06-01 21:15:00,Город Москва,2023-10-04 12:08:01.465594
416,Ж,2010-07-17 10:21:26,Краснодарский край,2023-10-15 06:34:52.465597
417,Ж,2010-05-01 13:00:08,Город Москва,2023-10-09 05:33:08.465599
418,М,2010-07-19 23:36:50,Краснодарский край,2023-10-12 15:41:34.465601
419,Ж,2007-04-24 05:24:22,Город Санкт-Петербург,2023-10-17 21:46:13.465604
420,М,2007-07-30 23:58:48,Нижегородская область,2023-09-20 17:46:29.465606
421,Ж,2006-12-14 22:32:27,Нижегородская область,2023-09-19 04:43:39.465609
422,Ж,2009-09-10 12:30:45,Город Москва,2023-10-06 02:40:47.465611
423,Ж,2010-08-15 08:49:30,Город Москва,2023-10-10 22:43:40.465613
424,М,2010-05-27 23:00:06,Город Москва,2023-10-04 01:58:15.465616
425,Ж,2007-08-30 15:11:24,Город Санкт-Петербург,2023-10-07 13:56:05.465618
426,Ж,2009-08-29 10:14:44,Город Москва,2023-09-29 20:03:00.465620
427,Ж,2008-04-06 13:44:02,Город Москва,2023-10-09 09:07:16.465622
428,Ж,2007-10-09 03:36:31,Город Москва,2023-09-20 13:46:10.465625
429,Ж,2009-12-01 05:57:33,Краснодарский край,2023-09-24 16:21:58.465627
430,Ж,2007-07-07 23:01:24,Город Москва,2023-09-27 04:00:05.465630
431,Ж,2006-11-29 05:35:34,Город Москва,2023-09-20 05:34:56.465632
432,М,2010-05-29 06:48:21,Город Москва,2023-10-01 06:33:20.465634
433,Ж,2008-01-24 08:23:19,Новосибирская область,2023-10-10 14:23:23.465637
434,М,2007-09-10 20:46:44,Новосибирская область,2023-10-09 14:44:58.465639
435,М,2007-09-02 11:39:26,Город Москва,2023-09-22 12:34:04.465642
436,Ж,2009-10-11 02:25:26,Новосибирская область,2023-10-04 05:09:38.465645
437,М,2009-04-11 08:08:58,Город Санкт-Петербург,2023-09-26 05:37:13.465647
438,Ж,2008-06-23 20:34:47,Город Москва,2023-10-04 05:26:22.465650
439,М,2009-07-22 17:44:18,Город Санкт-Петербург,2023-10-01 11:15:34.465652
440,Ж,2008-08-10 21:38:29,Город Санкт-Петербург,2023-10-02 20:19:46.465655
441,Ж,2010-08-20 11:44:43,Нижегородская область,2023-10-10 07:46:23.465657
442,Ж,2010-02-16 15:25:16,Город Москва,2023-10-13 09:12:32.465660
443,М,2007-02-16 22:38:00,Краснодарский край,2023-09-24 12:06:06.465662
444,М,2010-09-06 06:19:53,Город Москва,2023-09-26 17:40:25.465664
445,М,2009-05-05 06:47:34,Новосибирская область,2023-10-01 13:32:29.465667
446,Ж,2008-06-11 18:50:48,Краснодарский край,2023-10-13 16:14:42.465669
447,М,2008-01-18 07:36:49,Город Москва,2023-09-23 23:03:00.465671
448,Ж,2007-03-01 11:21:37,Город Санкт-Петербург,2023-10-13 18:57:03.465674
449,Ж,2009-06-27 04:43:43,Новосибирская область,2023-09-23 17:04:47.465676
450,Ж,2009-10-15 23:28:10,Город Санкт-Петербург,2023-09-19 08:47:35.465679
451,М,2009-05-27 19:00:15,Город Москва,2023-10-16 22:35:47.465681
452,М,2008-06-06 07:16:05,Город Санкт-Петербург,2023-10-10 16:31:56.465684
453,Ж,2010-10-04 07:01:13,Город Москва,2023-10-01 13:18:07.465686
454,Ж,2008-10-17 13:28:58,Город Санкт-Петербург,2023-10-08 10:56:51.465688
455,Ж,2006-11-06 03:50:38,Город Москва,2023-09-30 13:00:46.465691
456,Ж,2007-02-24 19:15:41,Новосибирская область,2023-10-03 02:03:30.465693
457,М,2007-06-30 04:24:36,Новосибирская область,2023-09-29 13:25:09.465696
458,М,2009-09-30 20:48:59,Нижегородская область,2023-09-27 13:40:28.465699
459,Ж,2009-11-08 06:52:35,Нижегородская область,2023-10-08 01:22:52.465701
460,М,2006-12-12 01:29:36,Город Москва,2023-09-25 02:52:17.465703
461,Ж,2009-04-07 12:26:11,Краснодарский край,2023-10-13 19:26:05.465706
462,Ж,2007-08-19 23:31:37,Город Москва,2023-09-25 01:11:06.465708
463,Ж,2009-11-29 13:39:54,Город Санкт-Петербург,2023-10-16 19:46:18.465710
464,М,2010-03-29 23:08:40,Город Санкт-Петербург,2023-10-17 18:45:40.465713
465,М,2009-03-26 08:36:23,Город Санкт-Петербург,2023-09-28 14:48:43.465715
466,М,2010-01-19 15:01:18,Город Санкт-Петербург,2023-09-22 18:16:22.465717
467,Ж,2008-07-09 17:49:52,Город Санкт-Петербург,2023-09-25 13:28:23.465720
468,Ж,2008-01-22 14:42:54,Новосибирская область,2023-10-12 08:26:20.465722
469,Ж,2007-12-10 17:55:36,Нижегородская область,2023-10-02 10:08:59.465725
470,Ж,2010-03-11 20:16:09,Город Москва,2023-09-26 15:53:57.465727
471,М,2008-06-10 22:37:56,Город Санкт-Петербург,2023-10-04 21:21:05.465729
472,Ж,2010-01-20 02:34:41,Краснодарский край,2023-09-24 01:14:46.465732
473,М,2007-01-26 17:19:18,Новосибирская область,2023-09-22 07:09:29.465734
474,М,2007-04-10 17:19:09,Новосибирская область,2023-10-05 16:20:43.465736
475,Ж,2010-07-20 22:05:24,Краснодарский край,2023-09-22 02:40:39.465739
476,М,2010-08-24 13:02:57,Город Москва,2023-10-15 19:35:50.465741
477,М,2006-12-07 21:08:07,Город Москва,2023-09-30 18:21:05.465743
478,М,2008-08-04 01:21:38,Город Москва,2023-10-12 03:58:32.465746
479,М,2008-05-14 16:34:09,Новосибирская область,2023-09-27 07:22:00.465748
480,Ж,2007-12-20 17:16:24,Город Москва,2023-09-27 15:07:57.465750
481,Ж,2007-09-11 07:43:08,Краснодарский край,2023-09-30 05:10:18.465753
482,Ж,2009-10-08 09:47:27,Нижегородская область,2023-09-21 03:53:25.465755
483,Ж,2006-10-25 18:04:19,Город Москва,2023-09-19 04:25:08.465758
484,М,2010-01-30 02:06:11,Новосибирская область,2023-10-05 15:58:21.465760
485,Ж,2008-09-09 04:40:06,Город Москва,2023-09-27 07:38:11.465763
486,Ж,2009-11-05 13:10:47,Город Москва,2023-10-13 10:43:19.465765
487,Ж,2010-05-09 15:56:01,Краснодарский край,2023-09-21 18:50:01.465768
488,Ж,2009-11-09 04:09:17,Город Москва,2023-10-04 20:13:58.465770
489,Ж,2010-10-16 11:21:09,Город Санкт-Петербург,2023-10-02 14:10:38.465772
490,М,2008-08-25 21:36:59,Краснодарский край,2023-10-10 00:05:52.465775
491,Ж,2010-01-30 16:20:32,Город Москва,2023-10-06 10:30:51.465777
492,М,2010-06-02 01:30:11,Краснодарский край,2023-10-15 15:17:28.465779
493,Ж,2007-08-17 19:46:50,Город Санкт-Петербург,2023-10-12 04:02:45.465782
494,М,2006-11-09 04:43:29,Город Москва,2023-09-18 00:18:03.465784
495,М,2010-08-02 08:53:28,Город Москва,2023-09-24 15:14:29.465786
496,Ж,2007-12-17 05:29:07,Город Москва,2023-09-28 02:48:17.465789
497,М,2010-08-12 14:45:59,Краснодарский край,2023-09-29 17:38:24.465791
498,М,2008-07-24 18:12:15,Нижегородская область,2023-09-27 18:25:58.465793
499,Ж,2007-05-09 10:50:33,Город Москва,2023-10-16 07:03:40.465796
500,Ж,2008-12-09 09:56:49,Нижегородская область,2023-10-16 04:58:35.465798
501,Ж,2008-02-29 11:25:10,Новосибирская область,2023-10-06 16:14:41.465800
502,Ж,2006-12-11 12:51:17,Город Санкт-Петербург,2023-10-14 07:03:00.465803
503,Ж,2009-10-15 12:02:48,Новосибирская область,2023-09-24 08:28:44.465805
504,Ж,2006-12-27 09:27:02,Город Москва,2023-09-25 05:03:06.465807
505,М,2008-11-30 13:22:04,Город Москва,2023-09-21 22:55:20.465810
506,М,2010-03-24 09:48:50,Город Санкт-Петербург,2023-10-06 08:24:24.465812
507,М,2008-12-20 23:57:48,Город Москва,2023-10-10 17:42:42.465814
508,Ж,2009-04-12 11:19:33,Город Санкт-Петербург,2023-10-08 14:45:18.465817
509,М,2008-02-18 08:22:50,Новосибирская область,2023-10-01 14:28:18.465819
510,М,2007-01-24 04:33:46,Краснодарский край,2023-09-25 03:51:48.465822
511,Ж,2007-10-23 07:14:56,Краснодарский край,2023-09-30 01:06:07.465824
512,Ж,2008-03-08 15:21:06,Город Санкт-Петербург,2023-09-28 15:31:59.465827
513,Ж,2010-10-20 07:57:36,Город Санкт-Петербург,2023-09-25 10:25:36.465829
514,Ж,2006-12-02 15:00:27,Город Москва,2023-09-22 14:37:15.465831
515,М,2010-02-09 09:54:44,Краснодарский край,2023-10-17 06:55:36.465834
516,Ж,2008-03-25 20:29:34,Город Москва,2023-09-19 16:39:57.465836
517,Ж,2010-07-12 01:32:50,Новосибирская область,2023-10-05 21:56:10.465838
518,Ж,2007-07-17 03:43:54,Город Санкт-Петербург,2023-10-05 17:49:38.465841
519,М,2006-12-14 22:15:31,Город Москва,2023-10-09 05:30:10.465843
520,Ж,2008-12-12 23:06:06,Краснодарский край,2023-10-07 04:03:20.465846
521,Ж,2007-12-14 08:22:29,Город Санкт-Петербург,2023-10-01 05:37:37.465848
522,М,2009-07-30 02:12:15,Город Москва,2023-10-05 04:53:26.465851
523,М,2007-04-22 14:05:44,Город Москва,2023-09-20 01:00:13.465853
524,Ж,2009-03-25 06:20:41,Новосибирская область,2023-09-18 05:20:23.465856
525,Ж,2008-02-29 11:07:13,Город Москва,2023-09-25 00:06:03.465858
526,М,2007-05-17 00:28:51,Город Москва,2023-10-13 16:49:48.465860
527,Ж,2009-12-11 10:05:57,Краснодарский край,2023-10-17 21:32:29.465863
528,М,2008-05-25 07:28:22,Город Москва,2023-10-17 04:17:12.465865
529,М,2010-10-18 04:10:14,Город Москва,2023-09-25 16:26:06.465868
530,М,2007-08-18 05:08:06,Город Москва,2023-10-03 03:06:32.465870
531,Ж,2008-07-23 09:01:21,Город Санкт-Петербург,2023-10-14 08:19:16.465872
532,М,2008-11-22 17:00:49,Краснодарский край,2023-10-02 23:04:04.465875
533,М,2007-05-08 11:02:34,Краснодарский край,2023-09-21 07:13:29.465877
534,Ж,2009-11-03 07:47:20,Новосибирская область,2023-09-30 14:58:42.465879
535,Ж,2009-01-05 03:19:51,Город Москва,2023-09-28 01:08:51.465882
536,Ж,2010-04-17 12:06:01,Город Москва,2023-09-26 01:19:36.465884
537,Ж,2007-02-14 18:29:57,Нижегородская область,2023-09-25 16:13:22.465887
538,Ж,2006-12-06 13:10:06,Город Москва,2023-09-21 11:07:56.465889
539,Ж,2009-11-11 10:24:47,Город Москва,2023-10-08 18:12:22.465892
540,Ж,2010-02-28 22:02:54,Город Москва,2023-10-12 09:20:47.465894
541,М,2009-10-25 15:34:58,Город Москва,2023-09-28 00:15:54.465897
542,М,2008-09-26 02:11:11,Новосибирская область,2023-09-26 12:25:05.465899
543,Ж,2008-12-31 23:35:07,Краснодарский край,2023-10-04 20:03:28.465901
544,Ж,2009-03-11 11:18:10,Новосибирская область,2023-10-12 20:22:41.465904
545,Ж,2009-11-28 09:22:20,Новосибирская область,2023-10-16 20:53:08.465906
546,М,2008-10-18 07:31:18,Город Москва,2023-10-07 19:14:04.465908
547,Ж,2010-10-19 12:47:00,Город Москва,2023-10-15 23:45:28.465911
548,М,2007-01-19 01:46:04,Город Москва,2023-10-04 01:34:59.465913
549,Ж,2007-11-02 09:06:53,Город Москва,2023-10-05 16:03:00.465915
550,Ж,2009-03-01 09:34:46,Нижегородская область,2023-09-22 22:56:08.465918
551,Ж,2008-04-21 13:25:20,Новосибирская область,2023-10-16 03:11:11.465921
552,М,2006-12-21 12:51:39,Город Москва,2023-09-19 13:11:32.465923
553,Ж,2010-09-04 04:25:20,Город Москва,2023-09-23 21:49:33.465925
554,Ж,2010-07-07 12:24:05,Город Москва,2023-10-15 10:24:48.465928
555,Ж,2006-12-02 23:51:45,Краснодарский край,2023-09-21 00:49:34.465930
556,Ж,2007-05-21 19:26:26,Город Москва,2023-10-07 17:55:20.465933
557,Ж,2007-06-25 12:16:54,Город Москва,2023-09-22 15:11:13.465935
558,Ж,2009-07-17 17:34:27,Город Москва,2023-10-14 15:26:05.465938
559,Ж,2009-12-19 06:44:53,Новосибирская область,2023-09-19 11:50:19.465940
560,Ж,2007-08-15 23:46:24,Краснодарский край,2023-10-10 06:55:50.465942
561,М,2008-01-22 08:38:49,Город Санкт-Петербург,2023-09-18 22:10:35.465945
562,Ж,2008-11-24 11:45:47,Нижегородская область,2023-09-29 17:19:42.465947
563,М,2009-09-01 14:47:15,Город Москва,2023-10-01 23:34:57.465949
564,Ж,2008-11-15 08:32:31,Краснодарский край,2023-10-08 23:59:58.465952
565,Ж,2009-04-05 13:57:31,Нижегородская область,2023-09-28 21:45:59.465954
566,М,2010-04-24 00:54:45,Город Москва,2023-10-16 18:54:59.465956
567,М,2007-02-14 12:03:53,Город Москва,2023-09-20 10:21:16.465959
568,М,2010-01-17 22:13:20,Город Москва,2023-10-02 02:37:28.465961
569,Ж,2007-01-17 09:22:18,Новосибирская область,2023-09-19 08:14:31.465964
570,Ж,2010-01-24 10:28:31,Город Москва,2023-09-24 02:50:59.465966
571,Ж,2009-03-06 10:28:38,Краснодарский край,2023-10-13 07:54:42.465968
572,М,2007-03-13 00:01:41,Город Москва,2023-09-24 11:36:33.465971
573,М,2007-06-19 21:35:44,Новосибирская область,2023-10-10 21:48:53.465973
574,Ж,2007-05-17 16:40:56,Город Москва,2023-10-04 20:49:06.465976
575,М,2008-07-29 00:36:05,Город Москва,2023-10-11 22:19:43.465978
576,Ж,2006-10-29 00:42:10,Город Санкт-Петербург,2023-10-11 22:55:30.465980
577,Ж,2008-02-20 14:06:24,Город Санкт-Петербург,2023-10-17 04:49:54.465983
578,Ж,2007-04-08 23:37:24,Город Москва,2023-10-03 10:33:51.465985
579,Ж,2007-07-28 12:12:28,Город Санкт-Петербург,2023-10-13 05:02:49.465987
580,Ж,2008-04-11 23:28:50,Город Москва,2023-10-14 21:52:18.465990
581,М,2008-01-27 19:53:48,Город Санкт-Петербург,2023-09-19 15:50:47.465992
582,Ж,2008-10-04 20:02:06,Нижегородская область,2023-09-23 22:36:59.465995
583,Ж,2010-05-04 20:32:37,Краснодарский край,2023-09-26 22:49:46.465997
584,М,2008-04-12 06:33:22,Нижегородская область,2023-09-19 06:23:41.465999
585,Ж,2007-01-05 19:10:46,Город Москва,2023-10-03 09:02:16.466002
586,Ж,2009-03-08 04:01:30,Город Москва,2023-10-14 12:12:59.466004
587,М,2007-10-21 22:27:49,Нижегородская область,2023-09-25 11:51:36.466006
588,М,2008-07-16 01:15:43,Город Москва,2023-10-17 19:32:50.466009
589,М,2007-12-14 21:17:13,Город Москва,2023-09-28 08:59:55.466012
590,Ж,2007-05-03 07:28:40,Новосибирская область,2023-10-11 06:34:42.466014
591,Ж,2010-10-05 04:55:49,Город Москва,2023-09-21 15:11:52.466017
592,Ж,2007-04-07 11:43:12,Город Москва,2023-09-25 18:49:31.466019
593,Ж,2007-10-28 00:22:03,Нижегородская область,2023-09-18 13:30:58.466021
594,М,2007-05-07 13:48:51,Город Москва,2023-10-08 20:38:56.466024
595,М,2009-01-08 01:34:12,Нижегородская область,2023-09-21 02:34:42.466027
596,М,2008-02-21 10:02:42,Город Москва,2023-10-16 23:34:29.466029
597,Ж,2006-11-02 04:39:03,Краснодарский край,2023-10-17 05:12:49.466031
598,М,2007-06-03 00:25:48,Город Москва,2023-10-10 06:12:47.466034
599,Ж,2007-10-31 03:44:02,Новосибирская область,2023-10-15 10:45:30.466037
600,Ж,2007-02-06 17:28:56,Город Санкт-Петербург,2023-09-22 09:44:31.466039
601,М,2007-02-10 09:21:40,Город Санкт-Петербург,2023-10-02 14:03:49.466041
602,Ж,2007-11-20 10:16:18,Город Москва,2023-09-29 06:24:13.466044
603,М,2008-04-17 16:03:53,Город Санкт-Петербург,2023-09-22 06:11:41.466046
604,М,2008-12-25 19:03:37,Город Санкт-Петербург,2023-09-18 06:57:50.466049
605,М,2007-10-25 05:24:04,Город Москва,2023-10-13 19:51:43.466051
606,М,2008-01-15 04:48:03,Город Санкт-Петербург,2023-10-06 23:45:46.466054
607,М,2009-07-01 16:42:26,Город Москва,2023-09-18 08:10:15.466056
608,М,2009-05-15 11:55:37,Город Москва,2023-10-05 02:08:48.466059
609,Ж,2008-02-20 08:03:44,Город Москва,2023-10-09 10:50:31.466061
610,Ж,2008-09-09 19:33:28,Город Москва,2023-09-20 12:36:00.466063
611,М,2007-01-16 01:53:10,Город Москва,2023-09-21 00:40:51.466065
612,М,2007-04-30 12:51:34,Город Москва,2023-10-12 08:38:03.466068
613,Ж,2010-04-28 22:12:29,Новосибирская область,2023-10-04 04:02:16.466071
614,М,2009-01-10 15:24:54,Город Санкт-Петербург,2023-10-10 13:39:24.466073
615,Ж,2007-12-25 20:06:10,Город Санкт-Петербург,2023-09-24 22:33:53.466076
616,М,2010-09-29 15:07:18,Нижегородская область,2023-09-20 08:44:40.466078
617,Ж,2008-07-25 08:20:12,Краснодарский край,2023-10-06 09:48:18.466080
618,Ж,2006-12-02 11:57:10,Город Москва,2023-10-09 09:18:27.466083
619,Ж,2008-09-17 14:28:48,Город Москва,2023-10-03 04:40:39.466085
620,Ж,2010-08-14 18:41:46,Город Санкт-Петербург,2023-09-21 10:16:18.466087
621,М,2007-11-18 06:21:45,Город Санкт-Петербург,2023-09-28 17:12:23.466090
622,М,2009-07-10 07:26:14,Город Санкт-Петербург,2023-10-13 05:07:18.466092
623,Ж,2009-02-11 14:12:05,Город Санкт-Петербург,2023-10-06 23:57:16.466095
624,Ж,2008-07-24 23:51:05,Город Санкт-Петербург,2023-09-28 15:00:25.466097
625,Ж,2007-09-25 13:01:29,Нижегородская область,2023-09-28 18:34:26.466099
626,М,2010-03-13 04:39:10,Город Санкт-Петербург,2023-10-13 18:34:36.466102
627,М,2008-03-23 23:13:58,Город Москва,2023-10-11 02:54:13.466104
628,М,2008-06-17 03:04:39,Краснодарский край,2023-10-01 03:22:48.466107
629,М,2007-07-22 00:18:10,Город Санкт-Петербург,2023-09-22 03:56:37.466109
630,М,2009-05-26 09:17:27,Город Москва,2023-10-08 00:58:55.466112
631,М,2010-10-14 09:30:25,Нижегородская область,2023-09-30 07:57:48.466114
632,М,2009-01-11 00:04:49,Новосибирская область,2023-10-15 03:50:15.466116
633,Ж,2007-06-23 07:19:32,Город Москва,2023-10-15 11:18:10.466119
634,Ж,2008-09-24 10:46:52,Город Санкт-Петербург,2023-09-24 10:14:22.466121
635,М,2008-04-29 06:08:54,Город Москва,2023-10-14 10:08:28.466124
636,М,2009-12-05 23:09:02,Краснодарский край,2023-09-19 14:45:39.466127
637,Ж,2007-05-14 07:49:52,Город Москва,2023-09-28 17:21:54.466129
638,Ж,2008-08-24 05:52:08,Город Москва,2023-09-21 02:05:45.466131
639,Ж,2006-12-12 23:02:06,Новосибирская область,2023-09-22 01:56:40.466134
640,Ж,2009-05-11 14:17:57,Город Москва,2023-10-14 04:47:29.466136
641,Ж,2010-05-18 07:52:05,Город Москва,2023-09-18 10:35:21.466139
642,М,2008-07-31 18:23:36,Нижегородская область,2023-09-30 11:03:49.466141
643,Ж,2009-02-03 11:10:19,Город Санкт-Петербург,2023-09-25 00:28:56.466143
644,М,2010-03-14 16:56:45,Нижегородская область,2023-10-01 19:35:29.466146
645,Ж,2009-06-19 09:04:35,Город Москва,2023-10-01 17:23:14.466148
646,Ж,2009-05-05 07:34:04,Новосибирская область,2023-10-06 01:31:24.466150
647,Ж,2008-12-29 05:09:16,Краснодарский край,2023-09-18 13:16:45.466153
648,Ж,2008-10-15 09:39:18,Город Москва,2023-09-21 05:46:23.466155
649,Ж,2008-01-07 19:40:26,Город Санкт-Петербург,2023-10-06 01:52:49.466158
650,Ж,2009-06-06 10:08:46,Город Москва,2023-09-22 18:05:28.466160
651,Ж,2009-12-18 07:02:39,Новосибирская область,2023-09-19 01:03:09.466163
652,М,2007-12-04 04:32:59,Город Санкт-Петербург,2023-10-16 12:29:12.466165
653,Ж,2010-07-28 19:41:53,Город Санкт-Петербург,2023-09-19 21:19:37.466167
654,Ж,2010-09-16 23:50:07,Город Москва,2023-09-26 16:48:19.466170
655,Ж,2009-08-10 01:50:28,Новосибирская область,2023-09-30 14:24:51.466172
656,Ж,2010-08-03 20:11:21,Город Санкт-Петербург,2023-09-25 08:15:57.466174
657,Ж,2007-01-09 00:26:08,Город Санкт-Петербург,2023-09-18 04:06:27.466177
658,Ж,2007-02-18 11:37:03,Город Москва,2023-10-13 09:59:33.466179
659,Ж,2009-02-16 20:34:12,Краснодарский край,2023-10-10 09:48:46.466182
660,Ж,2007-09-08 20:30:12,Город Москва,2023-10-03 10:53:22.466184
661,Ж,2007-02-03 02:00:32,Город Санкт-Петербург,2023-09-29 18:18:54.466186
662,Ж,2007-02-18 02:44:08,Город Москва,2023-10-09 03:34:49.466189
663,Ж,2007-11-21 07:40:46,Краснодарский край,2023-10-12 12:39:05.466191
